kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,DSC,,,,[]DSC[]Gagal_Remove_Offer_Tidak_Muncul[]Check_Offer_Active[]Complaint,,,
,,DSC,,,,[]DSC[]Gagal_Terminate[]Offer_Mengarah_BA_Lain[]Complaint,,,
,,DSC,,,,[]DSC[]IMEI_nonHKT_RegisterFailed[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]IMEI_RegisterFailed_DataAlreadyInWhitelist[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_BBS/BBD_Koreksi_Tagihan[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_BBS/BBD_Source_Not_Found_inODS[]Cek_customer/viewBillImage[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_BBS/BBD_Timeout[]Cek_customer/viewBillImage[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_ChangeOwnership[]Customer_Profile[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Migrasi_PreToPost[]Customer_Profile[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Migrasi_SIMtoESIM[]Gagal_Mendapat_QR_Code[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Paket_Double_Active[]Validasi_Transaksi[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Perso[]PopUpError_MaafTelahTerjadiKesalahan[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Resume[]TombolTidakDitemukan[]Complaint,,,
,,DSC,,,,[]DSC[]Kendala_Terminate[]TombolTidakDitemukan[]Complaint,,,
,,DSC,,,,[]DSC[]ManageOrder_CheckOrder[]ValidateOrderTransactionPRO[]Complaint,,,
,,DSC,,,,[]DSC[]ManageOrder_CheckUserActivation[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]ManageOrder_CheckUserDeactivation[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Monitoring_Indira[]Cek_History_Call_Detail[]Complaint,,,
,,DSC,,,,[]DSC[]Monitoring_Indira[]Cek_History_Recharge[]Complaint,,,
,,DSC,,,,[]DSC[]Monitoring_Indira[]Cek_History_Transfer_Pulsa[]Complaint,,,
,,DSC,,,,[]DSC[]Monitoring_Indira[]Cek_History_UPCC_Detail[]Complaint,,,
,,DSC,,,,[]DSC[]MSISDN_Tidak_Ditemukan[]Cek_/esb/v2/customer/profile_to_INGW[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Cancel_Order_MEA[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Gagal_Aktivasi_Paket[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Gagal_PSB[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Kendala_HLR[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Kendala_Tagihan[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Miss_Assigned_Wrong_Apps[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Penggunaan_Data_kuota[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Stuck_Add_Offer[]Complaint,,,
,,DSC,,,,[]DSC[]Not_Case_DSC[]Tidak_Ada_Pilihan_Paket[]Complaint,,,
,,DSC,,,,[]DSC[]OfferKuotaKeluarga_Add/RemoveAnggota[]ValidateProfile[]Complaint,,,
,,DSC,,,,[]DSC[]OfferKuotaKeluarga_BenefitKuotaTidakSesuai[]ValidateProfile[]Complaint,,,
,,DSC,,,,[]DSC[]OfferKuotaKeluarga_MemberTidakSesuai[]ValidateProfile[]Complaint,,,
,,DSC,,,,[]DSC[]OrderAddOffer_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderAddOffer_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderAddOfferCLS_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderBlock_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderChangeOwnership_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderChangeOwnership_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderCLS_UpLimitFailed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderPSB_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderPSB_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderPSB_Submited[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderReaktivasi_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderReaktivasi_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderRemoveOffer_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderResume_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderRPP_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderRPTP_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderRPTP_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderSPTP_Cancel[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderSPTP_Failed[]ValidateOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderTerminate_Cancel[]ValidarteOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderTerminate_Failed[]ValidarteOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]OrderUnBlocked_Cancel[]ValidarteOrdertoPRO[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_BC_Tidak_Sesuai[]Cek_BC_to_TC[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_FA_Tidak_Sesuai[]Cek_CM_AccountServices[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_LOS_Tidak_Sesuai[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_Nama_Tidak_Sesuai[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_Pemakaian_Sementara_Tidak_Sesuai[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_PUK_7_Digit[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_PUK_Kosong[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Profile_Substype_Tidak_Sesuai[]Cek_/esb/v2/customer/profile[]Complaint,,,
,,DSC,,,,[]DSC[]Revoke[]User[]Request,,,
,,DSC,,,,[]DSC[]Tidak_bisa_KIP_CRM_-_Unit_Id_is_not_assigned_to_the_User_Id[]Cek_/scrt/esb/v1/kip[]Complaint,,,
,,DSC,,,,[]DSC[]Tidak_bisa_KIP_CRM-Error_System[]Cek_/scrt/esb/v1/kip[]Complaint,,,
,,DSC,,,,[]DSC[]Tidak_bisa_KIP_CRM-Target_Pool_not_found[]Cek_/scrt/esb/v1/cases[]Complaint,,,
,,DSC,,,,[]DSC[]Tidak_bisa_KIP_ERR_504_GATEWAY_TIMEOUT[]Cek_/scrt/esb/v1/kip[]Complaint,,,
,,DSC,,,,"[]DSC[]Tidak_bisa_KIP_Invalid reason in KIP[]Validate_Log[]Complaint",,,
